"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2020","AQS","040139997","1","1.5","ppm","17","JLG SUPERSITE","19","79.0000","42101","Carbon monoxide","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"01/02/2020","AQS","040139997","1","0.8","ppm","9","JLG SUPERSITE","24","100.0000","42101","Carbon monoxide","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"01/03/2020","AQS","040139997","1","1","ppm","11","JLG SUPERSITE","24","100.0000","42101","Carbon monoxide","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"01/04/2020","AQS","040139997","1","1.3","ppm","15","JLG SUPERSITE","24","100.0000","42101","Carbon monoxide","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"01/05/2020","AQS","040139997","1","1.2","ppm","14","JLG SUPERSITE","24","100.0000","42101","Carbon monoxide","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"01/06/2020","AQS","040139997","1","0.9","ppm","10","JLG SUPERSITE","18","75.0000","42101","Carbon monoxide","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"01/07/2020","AQS","040139997","1","1","ppm","11","JLG SUPERSITE","24","100.0000","42101","Carbon monoxide","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"01/08/2020","AQS","040139997","1","1.3","ppm","15","JLG SUPERSITE","24","100.0000","42101","Carbon monoxide","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"01/09/2020","AQS","040139997","1","0.9","ppm","10","JLG SUPERSITE","24","100.0000","42101","Carbon monoxide","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"01/10/2020","AQS","040139997","1","0.4","ppm","5","JLG SUPERSITE","24","100.0000","42101","Carbon monoxide","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"01/11/2020","AQS","040139997","1","0.5","ppm","6","JLG SUPERSITE","24","100.0000","42101","Carbon monoxide","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"01/12/2020","AQS","040139997","1","0.8","ppm","9","JLG SUPERSITE","24","100.0000","42101","Carbon monoxide","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"01/13/2020","AQS","040139997","1","0.9","ppm","10","JLG SUPERSITE","24","100.0000","42101","Carbon monoxide","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"01/14/2020","AQS","040139997","1","1.1","ppm","13","JLG SUPERSITE","18","75.0000","42101","Carbon monoxide","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"01/15/2020","AQS","040139997","1","1.1","ppm","13","JLG SUPERSITE","24","100.0000","42101","Carbon monoxide","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"01/16/2020","AQS","040139997","1","1.2","ppm","14","JLG SUPERSITE","24","100.0000","42101","Carbon monoxide","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"01/17/2020","AQS","040139997","1","0.6","ppm","7","JLG SUPERSITE","24","100.0000","42101","Carbon monoxide","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"01/18/2020","AQS","040139997","1","0.9","ppm","10","JLG SUPERSITE","24","100.0000","42101","Carbon monoxide","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"01/19/2020","AQS","040139997","1","1.4","ppm","16","JLG SUPERSITE","24","100.0000","42101","Carbon monoxide","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"01/20/2020","AQS","040139997","1","0.9","ppm","10","JLG SUPERSITE","24","100.0000","42101","Carbon monoxide","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"01/21/2020","AQS","040139997","1","0.3","ppm","3","JLG SUPERSITE","24","100.0000","42101","Carbon monoxide","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"01/22/2020","AQS","040139997","1","0.7","ppm","8","JLG SUPERSITE","18","75.0000","42101","Carbon monoxide","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"01/23/2020","AQS","040139997","1","1","ppm","11","JLG SUPERSITE","24","100.0000","42101","Carbon monoxide","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"01/24/2020","AQS","040139997","1","0.9","ppm","10","JLG SUPERSITE","24","100.0000","42101","Carbon monoxide","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"01/25/2020","AQS","040139997","1","0.9","ppm","10","JLG SUPERSITE","24","100.0000","42101","Carbon monoxide","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"01/26/2020","AQS","040139997","1","1","ppm","11","JLG SUPERSITE","24","100.0000","42101","Carbon monoxide","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"01/27/2020","AQS","040139997","1","1","ppm","11","JLG SUPERSITE","24","100.0000","42101","Carbon monoxide","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"01/28/2020","AQS","040139997","1","0.7","ppm","8","JLG SUPERSITE","24","100.0000","42101","Carbon monoxide","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"01/29/2020","AQS","040139997","1","0.7","ppm","8","JLG SUPERSITE","24","100.0000","42101","Carbon monoxide","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"01/30/2020","AQS","040139997","1","0.5","ppm","6","JLG SUPERSITE","24","100.0000","42101","Carbon monoxide","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"01/31/2020","AQS","040139997","1","0.9","ppm","10","JLG SUPERSITE","24","100.0000","42101","Carbon monoxide","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"02/01/2020","AQS","040139997","1","1.3","ppm","15","JLG SUPERSITE","24","100.0000","42101","Carbon monoxide","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"02/02/2020","AQS","040139997","1","1.1","ppm","13","JLG SUPERSITE","24","100.0000","42101","Carbon monoxide","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"02/03/2020","AQS","040139997","1","0.6","ppm","7","JLG SUPERSITE","24","100.0000","42101","Carbon monoxide","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"02/04/2020","AQS","040139997","1","0.3","ppm","3","JLG SUPERSITE","24","100.0000","42101","Carbon monoxide","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"02/05/2020","AQS","040139997","1","0.5","ppm","6","JLG SUPERSITE","24","100.0000","42101","Carbon monoxide","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"02/06/2020","AQS","040139997","1","0.6","ppm","7","JLG SUPERSITE","18","75.0000","42101","Carbon monoxide","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"02/07/2020","AQS","040139997","1","0.8","ppm","9","JLG SUPERSITE","24","100.0000","42101","Carbon monoxide","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"02/08/2020","AQS","040139997","1","0.9","ppm","10","JLG SUPERSITE","24","100.0000","42101","Carbon monoxide","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"02/09/2020","AQS","040139997","1","0.9","ppm","10","JLG SUPERSITE","24","100.0000","42101","Carbon monoxide","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"02/10/2020","AQS","040139997","1","0.6","ppm","7","JLG SUPERSITE","24","100.0000","42101","Carbon monoxide","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"02/11/2020","AQS","040139997","1","0.4","ppm","5","JLG SUPERSITE","24","100.0000","42101","Carbon monoxide","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"02/12/2020","AQS","040139997","1","0.4","ppm","5","JLG SUPERSITE","24","100.0000","42101","Carbon monoxide","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"02/13/2020","AQS","040139997","1","0.8","ppm","9","JLG SUPERSITE","24","100.0000","42101","Carbon monoxide","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
